merge_artist,total_tracks,avg_popularity,avg_duration_ms,avg_danceability,avg_energy,avg_speechiness,avg_acousticness,avg_instrumentalness,avg_liveness,avg_valence,avg_tempo,top_genre,total_nominations,total_wins,first_award_year,last_award_year,has_award
talos,1,31.5,190160.0,0.3,0.42,0.05,0.86,0.0,0.11,0.12,79.88,folk,0,0,0,0,0
talstrasse 3-5,3,25.67,173348.67,0.74,0.77,0.16,0.05,0.0,0.3,0.45,114.33,party,0,0,0,0,0
talstrasse 3-5;rosi rosetta,1,25.0,192857.0,0.88,0.7,0.22,0.05,0.0,0.07,0.53,126.99,party,0,0,0,0,0
tamara blake,1,62.0,169874.0,0.4,0.05,0.05,0.98,0.92,0.11,0.3,124.94,piano,0,0,0,0,0
tamara eden,1,61.0,142614.0,0.33,0.13,0.05,0.97,0.9,0.11,0.6,144.73,piano,0,0,0,0,0
tamara tsereteli,3,0.0,146209.0,0.5,0.15,0.12,0.99,0.1,0.15,0.55,82.46,romance,0,0,0,0,0
tamara tsereteli;guitar duet alexeev - sazonov,1,1.0,144565.0,0.49,0.12,0.15,0.99,0.0,0.18,0.49,80.96,romance,0,0,0,0,0
tamia,2,0.0,224366.0,0.55,0.39,0.06,0.47,0.0,0.12,0.35,129.1,soul,0,0,0,0,0
tamia;fabolous,1,1.0,294093.0,0.68,0.53,0.03,0.22,0.0,0.17,0.57,91.11,soul,0,0,0,0,0
tamio okuda,2,40.33,176710.67,0.46,0.83,0.05,0.0,0.0,0.22,0.34,135.91,acoustic,0,0,0,0,0
tan bionica,4,47.6,266514.6,0.51,0.81,0.04,0.03,0.0,0.15,0.6,108.31,alt-rock,0,0,0,0,0
tan taşçı,23,41.13,270710.61,0.58,0.59,0.05,0.62,0.0,0.46,0.43,127.52,turkish,0,0,0,0,0
tananai,1,0.0,129142.0,0.87,0.75,0.17,0.07,0.02,0.28,0.52,105.02,indie-pop,0,0,0,0,0
tanay mimani,1,33.0,244247.0,0.79,0.33,0.06,0.27,0.0,0.1,0.46,112.87,singer-songwriter,0,0,0,0,0
tanerman;lia shine;yung ouzo,1,43.0,160993.0,0.66,0.58,0.34,0.11,0.0,0.21,0.47,180.07,turkish,0,0,0,0,0
tang siu hau,1,26.0,258706.0,0.53,0.34,0.03,0.9,0.0,0.11,0.32,98.31,cantopop,0,0,0,0,0
tangerine wong,1,58.0,226773.0,0.68,0.68,0.03,0.58,0.0,0.12,0.68,135.98,malay,0,0,0,0,0
tango bardo,8,19.25,175975.62,0.55,0.47,0.05,0.66,0.26,0.16,0.67,125.39,tango,0,0,0,0,0
tango negro trio;juan carlos caceres,1,16.0,173786.0,0.76,0.44,0.2,0.74,0.0,0.08,0.66,108.41,tango,0,0,0,0,0
tani yuuki,1,58.0,278118.0,0.63,0.78,0.05,0.16,0.0,0.33,0.67,106.38,j-pop,0,0,0,0,0
tanir;tyomcha;jarico,1,57.0,214329.0,0.77,0.91,0.05,0.09,0.0,0.65,0.69,111.02,indie,0,0,0,0,0
tanir;tyomcha;mikis,1,54.0,183100.0,0.85,0.97,0.07,0.4,0.0,0.43,0.89,124.02,indie,0,0,0,0,0
tanisha hickman,1,52.0,125500.0,0.28,0.05,0.04,1.0,0.93,0.12,0.27,147.16,piano,0,0,0,0,0
tanishk bagchi;altamash faridi,1,64.0,371112.0,0.6,0.45,0.03,0.45,0.0,0.09,0.38,135.03,pop,0,0,0,0,0
tanishk bagchi;arijit singh;asees kaur,1,66.0,212832.0,0.49,0.4,0.03,0.6,0.0,0.43,0.5,131.49,pop,0,0,0,0,0
tanishk bagchi;gippy grewal;zahrah s khan;romy;abrar ul haq,1,70.0,199029.0,0.78,0.96,0.1,0.09,0.0,0.68,0.61,139.24,pop,0,0,0,0,0
tanishk bagchi;jubin nautiyal;asees kaur,2,74.0,230292.0,0.72,0.63,0.04,0.61,0.0,0.11,0.51,81.01,pop,0,0,0,0,0
tanishk bagchi;pav dharia;nikhita gandhi,1,70.0,191239.0,0.79,0.73,0.05,0.08,0.0,0.08,0.7,93.97,pop,0,0,0,0,0
tanishk bagchi;rashmi virag;zahrah s khan,1,66.0,163500.0,0.83,0.8,0.16,0.26,0.0,0.09,0.43,119.95,pop,0,0,0,0,0
tanishk bagchi;udit narayan;alka yagnik,1,70.0,250287.0,0.71,0.93,0.06,0.04,0.01,0.12,0.48,103.01,pop,0,0,0,0,0
tanishk bagchi;yasser desai;asees kaur,1,74.0,183000.0,0.7,0.7,0.04,0.17,0.0,0.16,0.43,124.97,pop,0,0,0,0,0
tanishk bagchi;zahrah s khan;dev negi,1,71.0,195616.0,0.74,0.91,0.06,0.01,0.0,0.06,0.78,101.0,pop,0,0,0,0,0
tanishk bagchi;zahrah s khan;dj aqeel,1,45.0,189790.0,0.74,0.89,0.05,0.0,0.06,0.06,0.68,127.97,pop,0,0,0,0,0
tanishk bagchi;zahrah s khan;yash narvekar;bappi lahiri,1,18.0,216199.0,0.67,0.9,0.03,0.02,0.01,0.14,0.62,129.02,pop,0,0,0,0,0
tanja lasch,2,31.5,210464.5,0.7,0.78,0.05,0.04,0.0,0.15,0.59,125.53,disco,0,0,0,0,0
tanju okan,3,37.67,226527.67,0.41,0.55,0.03,0.52,0.0,0.29,0.54,97.84,j-rock,0,0,0,0,0
tank 呂建忠,3,45.33,265413.0,0.56,0.7,0.03,0.39,0.0,0.1,0.37,137.95,mandopop,0,0,0,0,0
tankard,2,23.0,234812.0,0.5,0.81,0.03,0.0,0.0,0.1,0.59,84.94,death-metal,0,0,0,0,0
tankurt manas,2,40.0,179916.5,0.67,0.78,0.17,0.41,0.01,0.08,0.77,117.52,turkish,0,0,0,0,0
tankurt manas;baneva,1,40.0,183250.0,0.88,0.66,0.22,0.64,0.0,0.17,0.57,119.88,turkish,0,0,0,0,0
tankz,2,61.5,193386.5,0.89,0.31,0.27,0.32,0.02,0.09,0.31,140.05,chill,0,0,0,0,0
